ts,event,type,edge_pershare,exec_size,pool_dollars,n_legs,near_res,edge_recheck
2026-07-31T05:24:14+00:00,NZ Election: Labour Party # of seats?,BUY-ALL,0.033,4.5,0.15,7,1,0.033
2026-07-31T05:24:14+00:00,2026 World GDP Growth,SELL-ALL,0.019,1.0,0.02,9,1,0.001
2026-07-31T13:15:18+00:00,US economic state at the end of 2026?,BUY-ALL,0.053,61.0,3.23,4,0,0.053
2026-07-31T13:15:18+00:00,NZ Election: Labour Party # of seats?,BUY-ALL,0.033,4.5,0.15,7,0,0.033
2026-08-01T00:27:37+00:00,Balance of Power: 2026 Midterms,SELL-ALL,0.008,3698.5,29.59,5,0,0.008
2026-08-01T00:27:37+00:00,South Korea Annual Inflation 2026,SELL-ALL,0.005,36.0,0.18,7,0,0.005
2026-08-01T00:27:37+00:00,NZ Election: Labour Party # of seats?,BUY-ALL,0.033,4.5,0.15,7,0,0.033
2026-08-01T00:27:37+00:00,UK Annual GDP Growth 2026,SELL-ALL,0.01,10.7,0.11,7,0,0.01
2026-08-01T00:27:37+00:00,New Zealand Election: Turnout,SELL-ALL,0.007,11.0,0.08,6,0,0.007
2026-08-01T00:27:37+00:00,2026 World GDP Growth,SELL-ALL,0.011,6.2,0.07,9,0,
2026-08-01T00:27:37+00:00,How many Republican Senators not running in 2026?,BUY-ALL,0.058,0.8,0.05,9,0,
2026-08-01T00:27:37+00:00,Mexico Annual Inflation 2026,SELL-ALL,0.017,3.1,0.05,8,0,
2026-08-01T05:58:25+00:00,Balance of Power: 2026 Midterms,SELL-ALL,0.008,3535.3,28.28,5,0,0.008
2026-08-01T05:58:25+00:00,New Zealand Election: Turnout,SELL-ALL,0.019,11.0,0.21,6,0,0.021
2026-08-01T05:58:25+00:00,South Korea Annual Inflation 2026,SELL-ALL,0.005,36.0,0.18,7,0,0.005
2026-08-01T05:58:25+00:00,NZ Election: Labour Party # of seats?,BUY-ALL,0.033,4.5,0.15,7,0,0.033
2026-08-01T05:58:25+00:00,UK Annual GDP Growth 2026,SELL-ALL,0.01,10.7,0.11,7,0,0.01
2026-08-01T05:58:25+00:00,2026 World GDP Growth,SELL-ALL,0.009,6.6,0.06,9,0,
2026-08-01T05:58:25+00:00,Mexico Annual Inflation 2026,SELL-ALL,0.017,3.1,0.05,8,0,
2026-08-01T12:15:28+00:00,Where will 2026 rank among the hottest years on record?,BUY-ALL,0.098,20.9,2.05,6,0,0.098
2026-08-01T12:15:28+00:00,South Korea Annual Inflation 2026,SELL-ALL,0.006,36.0,0.22,7,0,0.006
2026-08-01T12:15:28+00:00,NZ Election: Labour Party # of seats?,BUY-ALL,0.033,4.5,0.15,7,0,0.033
2026-08-01T12:15:28+00:00,New Zealand Election: Turnout,SELL-ALL,0.012,12.0,0.14,6,0,0.014
2026-08-01T12:15:28+00:00,UK Annual GDP Growth 2026,SELL-ALL,0.007,10.7,0.08,7,0,0.007
2026-08-01T12:15:28+00:00,Mexico Annual Inflation 2026,SELL-ALL,0.015,3.1,0.05,8,0,
