ts,q,type,net_edge,react_ms
2026-08-03T21:49:51.852+00:00,"Will the price of Bitcoin be above $62,000 on Augu",SELL-BOTH,0.003,0.1
2026-08-09T15:47:15.282+00:00,Bitcoin Up or Down on August 9?,SELL-BOTH,0.0069,0.1
2026-08-09T15:47:16.915+00:00,Bitcoin Up or Down on August 9?,BUY-BOTH,0.005,0.1
2026-08-10T00:11:10.832+00:00,"Will Bitcoin reach $66,000 August 3-9?",SELL-BOTH,0.0021,0.1
2026-08-13T06:08:22.820+00:00,Clarity Act (H.R.3633) signed into law in 2026?,BUY-BOTH,0.0385,0.1
2026-08-13T06:08:22.820+00:00,Clarity Act (H.R.3633) signed into law in 2026?,SELL-BOTH,0.0385,0.1
2026-08-13T06:08:22.890+00:00,Clarity Act (H.R.3633) signed into law in 2026?,SELL-BOTH,0.0385,0.1
2026-08-13T06:08:22.890+00:00,Clarity Act (H.R.3633) signed into law in 2026?,SELL-BOTH,0.0385,0.1
2026-08-13T06:08:22.890+00:00,Clarity Act (H.R.3633) signed into law in 2026?,SELL-BOTH,0.0385,0.0
2026-08-13T06:08:22.890+00:00,Clarity Act (H.R.3633) signed into law in 2026?,SELL-BOTH,0.0385,0.0
2026-08-13T06:08:22.941+00:00,Clarity Act (H.R.3633) signed into law in 2026?,SELL-BOTH,0.0385,0.1
2026-08-13T06:08:22.941+00:00,Clarity Act (H.R.3633) signed into law in 2026?,SELL-BOTH,0.0385,0.1
2026-08-13T06:08:23.025+00:00,Clarity Act (H.R.3633) signed into law in 2026?,SELL-BOTH,0.0385,0.1
2026-08-13T06:08:23.025+00:00,Clarity Act (H.R.3633) signed into law in 2026?,SELL-BOTH,0.0385,0.1
2026-08-13T06:08:23.025+00:00,Clarity Act (H.R.3633) signed into law in 2026?,SELL-BOTH,0.0385,0.0
2026-08-13T06:08:23.025+00:00,Clarity Act (H.R.3633) signed into law in 2026?,SELL-BOTH,0.0385,0.0
2026-08-13T06:08:23.813+00:00,Clarity Act (H.R.3633) signed into law in 2026?,SELL-BOTH,0.0385,0.1
2026-08-13T06:08:23.813+00:00,Clarity Act (H.R.3633) signed into law in 2026?,SELL-BOTH,0.0385,0.1
2026-08-13T06:08:24.900+00:00,Clarity Act (H.R.3633) signed into law in 2026?,SELL-BOTH,0.0385,0.1
2026-08-16T08:52:54.346+00:00,"Will the price of Bitcoin be above $62,000 on Augu",SELL-BOTH,0.0029,0.1
2026-09-03T12:49:59.559+00:00,"Will the price of Bitcoin be above $80,000 on Sept",BUY-BOTH,0.0046,0.1
