t,market_id,conditionId,slug,endDate,p_last,yes_bid,yes_ask,no_bid,no_ask,no_ask_size,volume,graded,won_no
1788205129.5,2313101,0xeb81bba4b841a6261bd4f69d81c6fd9d53101d3a049b76f29adc7163ff8280f4,fnatic-mergeracquisition-announced-by-september-1-2026,2026-09-02T03:59:00Z,0.0345,0.008,0.063,0.937,0.992,5.91,10197.859156,0,
1788205130.0,2428140,0x2849f7ab653aece876ff7a6199dede4ddb42e8ad239acd17910ba7b3f079cea6,will-brazils-q2-2026-gdp-growth-rate-qoq-be-less-than-0pt0-20260603144,2026-09-01T23:59:00Z,0.054,0.006,0.101,0.899,0.994,66.0,1790.9063560000002,0,
1788205130.5,2428141,0x893eebb392e85b6684e261727fa812f8f792ec5537270bef900e47f761070fc9,will-brazils-q2-2026-gdp-growth-rate-qoq-be-between-0pt0-and-0pt2-2026,2026-09-01T23:59:00Z,0.277,0.043,0.494,0.506,0.957,40.0,4022.079481,0,
1788205131.0,2428143,0x3e00e2e01bddca5c4493134e5ab94956eec98016549866418e6e9164b3e793ef,will-brazils-q2-2026-gdp-growth-rate-qoq-be-between-0pt6-and-0pt8-2026,2026-09-01T23:59:00Z,0.1605,0.108,0.214,0.786,0.892,15.4,16561.187779999997,0,
1788205131.6,2554113,0x36437464e23a82a07787cf5e4ab6b30daaf60b0e62c8362b60f4ebc298268d6c,will-enzo-fernandez-stay-at-chelsea-20260612231645951,2026-09-02T03:59:00Z,0.1105,0.09,0.119,0.881,0.91,144.52,134844.668969,0,
1788205132.1,2555509,0xe3629909729b9734d4698815e0e12e4188d1bab48be15ff5345df440a80d057c,will-julian-alvarez-join-barcelona-20260612230229112,2026-09-02T03:59:00Z,0.0315,0.024,0.036,0.964,0.976,1395.39,251375.4162489999,0,
1788205132.6,2555512,0x25f6d52c505178fff40c986a22f22dcb4e227f0413c11c684cd66809addb6901,will-julian-alvarez-join-arsenal-20260612230229115,2026-09-02T03:59:00Z,0.108,0.091,0.126,0.874,0.909,24.0,244242.48009899998,0,
1788205133.1,2555717,0xe33c71b3921a677292a3131e9f452cad56219aff70dba71a0872de1c23e56613,will-jack-grealish-stay-at-manchester-city-20260612224328417,2026-09-02T03:59:00Z,0.1315,0.109,0.155,0.845,0.891,60.0,17164.270828,0,
1788205133.6,2870692,0x0ef882f06f66d1207140c7608d1054546a5b3e9729ced3cc7614ce55cdfd5373,will-the-bank-of-israel-decrease-the-bank-of-israel-interest-rate-afte,2026-09-01T23:59:00Z,0.12,0.11,0.13,0.87,0.89,30.21,27658.34877300002,0,
1788205134.2,3141847,0x2f57cf4a2bf13afd7c70099298663e4021fd95f34f8b25ac97654797b03f7589,will-jeromie-whalen-be-the-ma-01-democratic-nominee-20260727173754526,2026-09-01T23:59:00Z,0.082,0.08,0.084,0.916,0.92,830.57,29309.352137,0,
1788205134.7,3141889,0x4c671a0ee5b5681b7b4663a3feb4f05b206caadb08de15ca61d72df7a8523d8a,will-jason-poulos-be-the-ma-04-democratic-nominee-20260727180932562,2026-09-01T23:59:00Z,0.021,0.013,0.025,0.975,0.987,50.0,6566.486518999999,0,
1788205135.2,3168905,0x82a2c4f9950e0595a4fd5f7be824dacbfcd105fa7ecc7dfa267d209cb643cfdb,will-190-to-219-tornadoes-occur-in-the-united-states-in-july-2026-2026,2026-09-01T23:59:00Z,0.155,0.13,0.18,0.82,0.87,46.0,954.736452,0,
1788205135.7,3251578,0xa4265174ce4660cabc310e73d23113f4959f37b26642b922cb6e77ea401bb7fd,will-anthropics-valuation-hit-high-1pt3t-by-august-31-2026073018263075,2026-09-01T19:00:00Z,0.33,0.05,0.61,0.39,0.95,7.1,7224.428512,0,
1788205136.2,3251608,0xa53904c0e8968c6cbb83c32fe1d192e4f3aa77a3fe57ebe86bd69115a1477eba,will-openais-valuation-hit-high-1pt0t-by-august-31-20260730182737235,2026-09-01T19:00:00Z,0.04,0.02,0.06,0.94,0.98,204.58,699.786665,0,
1788205137.0,3714022,0xe49b019dbd6fe8be3ff0434663823cabeaf41304719434b6445a9fd70ce77b43,elc-por-der-2026-09-01-exact-score-0-1,2026-09-01T18:45:00Z,0.085,0.08,0.09,0.91,0.92,590.25,24.75,0,
1788205137.6,3714023,0x52ef0c96d53c141f54ab13cb915643d28746bdf913e42c838ee16e02494c8144,elc-por-der-2026-09-01-exact-score-1-0,2026-09-01T18:45:00Z,0.11,0.1,0.12,0.88,0.9,1841.8,,0,
1788205138.2,3714024,0x3527befce796cfb4322b5eecc389bc6af4277c6bbf73e4bff90986de2a32642b,elc-por-der-2026-09-01-exact-score-0-2,2026-09-01T18:45:00Z,0.045,0.04,0.05,0.95,0.96,15577.75,,0,
1788205138.7,3714025,0x928f8bd4faefb8a499886777fc24f1bad4a66a46263fdbfb0c0cf1c0cbae7fea,elc-por-der-2026-09-01-exact-score-1-1,2026-09-01T18:45:00Z,0.135,0.13,0.14,0.86,0.87,704.0,210.11953300000002,0,
1788205139.2,3714026,0x11e8e16c0e5d41898e1d89bda2ecff37facd63a836f0236a5925d1386df92b7b,elc-por-der-2026-09-01-exact-score-2-0,2026-09-01T18:45:00Z,0.075,0.07,0.08,0.92,0.93,7890.85,,0,
1788205139.8,3714028,0xb81ebe349049cb70837a9dc30364a65ab1e0d5bc603a450e0a3c14a0b3acf94b,elc-por-der-2026-09-01-exact-score-1-2,2026-09-01T18:45:00Z,0.07,0.06,0.08,0.92,0.94,10298.83,,0,
1788205140.3,3714029,0xffcd6b745bd50ccf1501df16fe0a8388d4d71bb08a2b943c3495093a8157db09,elc-por-der-2026-09-01-exact-score-2-1,2026-09-01T18:45:00Z,0.09,0.08,0.1,0.9,0.92,8341.25,,0,
