ts,asset,poly_bid,poly_ask,lim_yes,lim_no,basis,resolution_verified
2026-08-02T06:01:54+00:00,BTC,0.83,0.84,0.86,0.14,0.03,False
2026-08-02T06:16:49+00:00,BTC,0.84,0.86,0.865,0.135,0.025,False,binance-btcusdt-1m,pyth-pro-btcusd
2026-08-03T14:20:24+00:00,BTC,0.8,0.81,0.72,0.28,0.09,False,binance-btcusdt-1m,pyth-pro-btcusd
2026-08-03T14:20:24+00:00,ETH,0.53,0.56,0.4265,0.5735,0.1335,False,binance-btcusdt-1m,pyth-pro-btcusd
2026-08-04T13:27:20+00:00,BTC,0.72,0.73,0.705,0.295,0.025,False,binance-btcusdt-1m,pyth-pro-btcusd
2026-08-05T13:27:58+00:00,BTC,0.57,0.58,0.5405,0.4595,0.0395,False,binance-btcusdt-1m,pyth-pro-btcusd
2026-08-06T13:18:51+00:00,ETH,0.87,0.89,0.8945,0.1055,0.0245,False,binance-btcusdt-1m,pyth-pro-btcusd
2026-08-06T13:18:51+00:00,BTC,0.3,0.31,0.375,0.625,0.075,False,binance-btcusdt-1m,pyth-pro-btcusd
2026-08-07T01:58:39+00:00,BTC,0.38,0.39,0.3835,0.6165,0.0065,False,binance-btcusdt-1m,pyth-pro-btcusd
2026-08-07T12:14:51+00:00,BTC,0.86,0.87,0.86,0.14,0.01,False,binance-btcusdt-1m,pyth-pro-btcusd
2026-08-08T00:05:28+00:00,BTC,0.47,0.48,0.53,0.47,0.06,False,binance-btcusdt-1m,pyth-pro-btcusd
2026-08-08T12:01:24+00:00,BTC,0.58,0.6,0.6,0.4,0.02,False,binance-btcusdt-1m,pyth-pro-btcusd
2026-08-09T12:02:28+00:00,BTC,0.25,0.27,0.255,0.745,0.015,False,binance-btcusdt-1m,pyth-pro-btcusd
2026-08-10T00:05:03+00:00,BTC,0.33,0.34,0.33,0.67,0.01,False,binance-btcusdt-1m,pyth-pro-btcusd
