ts,events_scanned,negrisk_candidates,opportunities,pool_total,pool_ex_convergence
2026-07-31T05:24:14+00:00,2000,12,2,0.17,0.0
2026-07-31T13:15:18+00:00,2000,2,2,3.38,3.38
2026-08-01T00:27:37+00:00,2000,9,8,30.28,30.28
2026-08-01T05:58:25+00:00,2000,7,7,29.04,29.04
2026-08-01T12:15:28+00:00,2000,6,6,2.69,2.69
2026-08-03T14:11:08+00:00,2000,5,5,1.29,1.29
2026-08-04T00:44:10+00:00,2000,4,4,1.12,1.12
2026-08-04T13:17:55+00:00,2000,8,8,1.12,1.12
2026-08-05T00:22:24+00:00,2000,5,5,1.42,1.42
2026-08-05T13:18:46+00:00,2000,5,5,0.45,0.45
2026-08-06T00:33:19+00:00,2000,2,2,0.47,0.47
2026-08-06T13:09:40+00:00,2000,3,3,1.23,1.23
2026-08-07T01:49:42+00:00,2000,4,4,3.64,3.64
2026-08-07T12:05:43+00:00,2000,5,4,3.01,3.01
2026-08-07T23:56:12+00:00,2000,5,5,0.78,0.78
2026-08-08T11:52:51+00:00,2000,4,2,2.57,2.57
2026-08-08T23:53:40+00:00,2000,4,4,1.15,1.15
2026-08-09T11:53:53+00:00,2000,2,2,0.57,0.57
2026-08-09T23:56:25+00:00,2000,2,2,0.34,0.34
2026-08-10T12:08:12+00:00,2000,3,3,0.75,0.75
