capture,asset,rest_price,dist_from_mid,queue_ahead,consumed,filled,secs_to_fill,markout_5s,markout_30s,markout_300s
224929.jsonl.gz,1090994452379897,0.038,0.0035,0.0,121.0,1,3.9,0.0035,0.004,
224929.jsonl.gz,3798474306659077,0.79,0.005,100.0,200.0,1,8.4,0.005,0.005,0.005
224929.jsonl.gz,1102656942679369,0.72,0.005,110.0,413.0,1,14.0,0.005,0.005,
224929.jsonl.gz,9277048309813507,0.928,0.159,69.4,208.3,1,35.7,0.1595,0.1595,0.16
224929.jsonl.gz,9277048309813507,0.927,0.1585,0.0,594.0,1,4.7,0.1585,0.1585,0.159
224929.jsonl.gz,3798474306659077,0.79,0.005,100.0,200.0,1,13.4,0.005,0.005,
224929.jsonl.gz,1102656942679369,0.72,0.005,110.0,250.0,1,16.3,0.005,0.005,
224929.jsonl.gz,7456793595792364,0.981,0.003,147.0,430.0,1,65.4,0.0035,0.0035,0.0035
224929.jsonl.gz,7456793595792364,0.981,0.003,147.0,430.0,1,34.4,0.0035,0.0035,0.0035
224929.jsonl.gz,7456793595792364,0.981,0.003,147.0,430.0,1,4.2,0.0035,0.0035,0.0035
224929.jsonl.gz,1102656942679369,0.72,0.005,110.0,313.0,1,11.2,0.005,0.005,
224929.jsonl.gz,9277048309813507,0.927,0.1585,594.0,1188.0,1,15.3,0.1585,0.1585,
224929.jsonl.gz,3798474306659077,0.79,0.005,100.0,200.0,1,21.6,0.005,0.005,0.005
224929.jsonl.gz,3798474306659077,0.79,0.005,100.0,200.0,1,2.8,0.005,0.005,0.005
224929.jsonl.gz,3523185360721264,0.98,0.065,1970.3,2545.3,1,95.5,0.065,0.065,
224929.jsonl.gz,1102656942679369,0.72,0.005,324.0,514.0,1,4.5,0.005,0.005,
224929.jsonl.gz,9277048309813507,0.927,0.1585,0.0,594.0,1,35.5,0.1585,0.1585,0.159
224929.jsonl.gz,9277048309813507,0.927,0.1585,0.0,594.0,1,5.5,0.1585,0.1585,0.159
224929.jsonl.gz,1101660708870437,0.997,0.0065,8.0,129.7,1,165.1,0.006,0.006,
224929.jsonl.gz,1101660708870437,0.997,0.0065,8.0,129.7,1,134.8,0.006,0.006,
224929.jsonl.gz,1101660708870437,0.997,0.006,8.0,129.7,1,103.8,0.006,0.006,
224929.jsonl.gz,1101660708870437,0.997,0.006,8.0,129.7,1,73.7,0.006,0.006,
224929.jsonl.gz,1101660708870437,0.997,0.006,8.0,129.7,1,43.6,0.006,0.006,
224929.jsonl.gz,1101660708870437,0.997,0.006,0.0,113.7,1,13.6,0.006,0.006,
224929.jsonl.gz,1102656942679369,0.72,0.005,110.0,250.0,1,19.9,0.005,0.005,0.005
224929.jsonl.gz,3798474306659077,0.79,0.005,100.0,200.0,1,19.9,0.005,0.005,0.005
224929.jsonl.gz,3523185360721264,0.98,0.065,1970.3,2545.3,1,112.8,0.065,0.065,
224929.jsonl.gz,9277048309813507,0.927,0.1585,0.0,594.0,1,1.2,0.1585,0.1585,
224929.jsonl.gz,3523185360721264,0.98,0.065,1970.2,2500.0,1,111.7,0.065,0.05,
224929.jsonl.gz,3523185360721264,0.98,0.065,1970.2,2500.0,1,81.6,0.065,0.05,
224929.jsonl.gz,1102656942679369,0.72,0.005,110.0,250.0,1,39.0,0.005,0.005,0.005
224929.jsonl.gz,3798474306659077,0.79,0.005,100.0,200.0,1,39.0,0.005,0.005,0.005
224929.jsonl.gz,3798474306659077,0.79,0.005,100.0,200.0,1,8.9,0.005,0.005,0.005
224929.jsonl.gz,1102656942679369,0.72,0.005,110.0,250.0,1,12.1,0.005,0.005,0.005
224929.jsonl.gz,3523185360721264,0.98,0.065,1970.2,2545.2,1,76.9,0.05,0.05,
224929.jsonl.gz,9350237091720620,0.074,0.007,4975.0,7625.0,1,198.3,0.007,0.007,
224929.jsonl.gz,9350237091720620,0.074,0.007,4975.0,7075.0,1,167.3,0.007,0.007,
224929.jsonl.gz,9350237091720620,0.074,0.007,4975.0,6625.0,1,137.1,0.007,0.007,
224929.jsonl.gz,9350237091720620,0.074,0.007,4975.0,6175.0,1,107.0,0.007,0.007,
224929.jsonl.gz,9350237091720620,0.074,0.007,4975.0,5475.0,1,77.0,0.007,0.007,
224929.jsonl.gz,9350237091720620,0.074,0.007,4975.0,5225.0,1,46.1,0.007,0.007,
224929.jsonl.gz,9350237091720620,0.074,0.007,4975.0,5175.0,1,16.0,0.007,0.007,
224929.jsonl.gz,8434073108761445,0.69,0.01,599.0,963.0,1,203.7,0.015,0.015,
224929.jsonl.gz,8434073108761445,0.69,0.01,968.0,2683.0,1,172.9,0.015,0.015,
224929.jsonl.gz,8434073108761445,0.69,0.01,968.0,2683.0,1,142.8,0.015,0.015,
224929.jsonl.gz,8434073108761445,0.69,0.01,968.0,2683.0,1,112.7,0.015,0.015,
224929.jsonl.gz,8434073108761445,0.69,0.01,968.0,2683.0,1,82.7,0.015,0.015,
224929.jsonl.gz,8434073108761445,0.69,0.01,968.0,2683.0,1,51.8,0.015,0.015,
224929.jsonl.gz,8434073108761445,0.69,0.01,968.0,2683.0,1,21.7,0.015,0.015,
224929.jsonl.gz,9277048309813507,0.927,0.1585,0.0,594.0,1,25.2,0.159,0.159,
224929.jsonl.gz,3523185360721264,0.98,0.065,1970.2,2545.2,1,55.7,0.05,0.05,
224929.jsonl.gz,5775223447809780,0.994,0.006,83.0,264.9,1,31.8,0.006,0.006,
224929.jsonl.gz,3523185360721264,0.98,0.065,1470.2,2045.2,1,36.8,0.05,0.05,
224929.jsonl.gz,6350586282809244,0.027,0.0035,0.0,100.0,1,135.2,0.0035,0.0035,
224929.jsonl.gz,6350586282809244,0.027,0.0035,0.0,100.0,1,105.2,0.0035,0.0035,
224929.jsonl.gz,6350586282809244,0.027,0.0035,0.0,100.0,1,74.3,0.0035,0.0035,
224929.jsonl.gz,6350586282809244,0.027,0.0035,0.0,100.0,1,44.2,0.0035,0.0035,
224929.jsonl.gz,6350586282809244,0.027,0.0035,0.0,100.0,1,14.2,0.0035,0.0035,
224929.jsonl.gz,7456793595792364,0.98,0.0025,0.0,120.0,1,138.1,0.0025,0.0025,0.0025
224929.jsonl.gz,7456793595792364,0.98,0.0025,0.0,120.0,1,108.1,0.0025,0.0025,0.0025
224929.jsonl.gz,7456793595792364,0.98,0.0025,0.0,120.0,1,77.2,0.0025,0.0025,0.0025
224929.jsonl.gz,7456793595792364,0.98,0.0025,0.0,120.0,1,47.1,0.0025,0.0025,0.0025
224929.jsonl.gz,7456793595792364,0.98,0.0025,0.0,120.0,1,17.1,0.0025,0.0025,0.0025
224929.jsonl.gz,6840002209357316,0.78,0.135,594.0,1188.0,1,251.7,0.01,0.01,
224929.jsonl.gz,3523185360721264,0.98,0.05,1470.2,2000.0,1,48.3,0.05,0.05,0.04
224929.jsonl.gz,6840002209357316,0.78,0.135,594.0,1188.0,1,235.8,0.01,0.01,
224929.jsonl.gz,6840002209357316,0.78,0.135,594.0,1188.0,1,205.6,0.01,0.01,
224929.jsonl.gz,6840002209357316,0.78,0.135,594.0,1188.0,1,175.5,0.01,0.01,
224929.jsonl.gz,6840002209357316,0.78,0.135,594.0,1188.0,1,145.5,0.01,0.01,
224929.jsonl.gz,6840002209357316,0.78,0.01,594.0,1188.0,1,114.6,0.01,0.01,
224929.jsonl.gz,6840002209357316,0.78,0.01,594.0,1188.0,1,84.5,0.01,0.01,
224929.jsonl.gz,6840002209357316,0.78,0.01,594.0,1188.0,1,54.5,0.01,0.01,
224929.jsonl.gz,6840002209357316,0.78,0.01,594.0,1188.0,1,24.4,0.01,0.01,
224929.jsonl.gz,1102656942679369,0.72,0.005,110.0,210.0,1,70.8,0.005,0.005,0.005
224929.jsonl.gz,3798474306659077,0.79,0.005,100.0,200.0,1,70.8,0.005,0.005,0.005
224929.jsonl.gz,9350237091720620,0.074,0.007,100.0,200.0,1,70.7,0.007,0.007,0.007
224929.jsonl.gz,1102656942679369,0.72,0.005,100.0,200.0,1,55.9,0.005,0.005,
224929.jsonl.gz,9350237091720620,0.074,0.007,100.0,200.0,1,55.9,0.007,0.007,
224929.jsonl.gz,1102656942679369,0.72,0.005,100.0,200.0,1,24.8,0.005,0.005,
224929.jsonl.gz,3798474306659077,0.79,0.005,100.0,200.0,1,56.0,0.005,0.005,
224929.jsonl.gz,3798474306659077,0.79,0.005,100.0,200.0,1,24.9,0.005,0.005,
224929.jsonl.gz,9350237091720620,0.074,0.007,116.0,250.0,1,24.9,0.007,0.007,
224929.jsonl.gz,5775223447809780,0.994,0.006,96.5,275.8,1,98.6,0.006,0.006,
224929.jsonl.gz,3798474306659077,0.79,0.005,100.0,200.0,1,9.2,0.005,0.005,
224929.jsonl.gz,3523185360721264,0.98,0.05,1970.2,2545.2,1,71.3,0.05,0.04,
224929.jsonl.gz,1059349247931019,0.4,0.005,3221.0,6000.0,1,313.7,0.005,0.005,
224929.jsonl.gz,1059349247931019,0.4,0.005,3221.0,6000.0,1,282.7,0.005,0.005,
224929.jsonl.gz,1059349247931019,0.4,0.005,3221.0,6000.0,1,252.6,0.005,0.005,
224929.jsonl.gz,1059349247931019,0.4,0.005,3221.0,6000.0,1,222.5,0.005,0.005,
224929.jsonl.gz,1059349247931019,0.4,0.005,3221.0,6000.0,1,192.5,0.005,0.005,
224929.jsonl.gz,1059349247931019,0.4,0.005,221.0,3000.0,1,161.6,0.005,0.005,
224929.jsonl.gz,1059349247931019,0.4,0.005,221.0,3000.0,1,131.5,0.005,0.005,
224929.jsonl.gz,1059349247931019,0.4,0.005,221.0,3000.0,1,101.5,0.005,0.005,
224929.jsonl.gz,8434073108761445,0.68,0.005,0.0,594.0,1,101.5,0.005,0.005,
224929.jsonl.gz,1059349247931019,0.4,0.005,221.0,3000.0,1,71.4,0.005,0.005,
224929.jsonl.gz,8434073108761445,0.68,0.005,0.0,594.0,1,71.4,0.005,0.005,
224929.jsonl.gz,1059349247931019,0.4,0.005,221.0,3000.0,1,40.3,0.005,0.005,
224929.jsonl.gz,8434073108761445,0.68,0.005,0.0,594.0,1,40.3,0.005,0.005,
224929.jsonl.gz,8434073108761445,0.68,0.005,0.0,594.0,1,10.3,0.005,0.005,
224929.jsonl.gz,3523185360721264,0.98,0.05,1470.2,2045.2,1,57.7,0.04,0.04,
224929.jsonl.gz,5775223447809780,0.994,0.006,0.0,165.2,1,92.1,0.006,0.006,
224929.jsonl.gz,5775223447809780,0.994,0.006,0.0,165.2,1,61.0,0.006,0.006,
224929.jsonl.gz,5775223447809780,0.994,0.006,0.0,165.2,1,31.0,0.006,0.006,
224929.jsonl.gz,1102656942679369,0.72,0.005,116.4,250.0,1,32.9,0.005,0.005,
224929.jsonl.gz,9350237091720620,0.074,0.007,116.0,250.0,1,32.9,0.007,0.007,
224929.jsonl.gz,1982530923885605,0.04,0.0005,299.8,444.0,1,338.0,0.0005,0.0005,
224929.jsonl.gz,1982530923885605,0.04,0.0005,299.8,444.0,1,307.0,0.0005,0.0005,
224929.jsonl.gz,1982530923885605,0.04,0.0005,299.8,444.0,1,276.9,0.0005,0.0005,
224929.jsonl.gz,1982530923885605,0.04,0.0005,299.8,444.0,1,246.8,0.0005,0.0005,
224929.jsonl.gz,1982530923885605,0.04,0.0005,299.8,444.0,1,216.8,0.0005,0.0005,
224929.jsonl.gz,1982530923885605,0.04,0.0005,299.8,444.0,1,185.9,0.0005,0.0005,
224929.jsonl.gz,1982530923885605,0.04,0.0005,299.8,444.0,1,155.8,0.0005,0.0005,
224929.jsonl.gz,1982530923885605,0.04,0.0005,299.8,444.0,1,125.8,0.0005,0.0005,
224929.jsonl.gz,1982530923885605,0.04,0.0005,299.8,444.0,1,95.7,0.0005,0.0005,
224929.jsonl.gz,1982530923885605,0.04,0.0005,299.8,444.0,1,64.6,0.0005,0.0005,
224929.jsonl.gz,1982530923885605,0.04,0.0005,299.8,444.0,1,34.6,0.0005,0.0005,
224929.jsonl.gz,3798474306659077,0.79,0.005,100.0,200.0,1,4.4,0.005,0.005,
224929.jsonl.gz,1102656942679369,0.72,0.005,116.4,250.0,1,8.7,0.005,0.005,0.005
224929.jsonl.gz,9350237091720620,0.074,0.007,121.4,250.0,1,8.7,0.007,0.007,0.0065
224929.jsonl.gz,3523185360721264,0.98,0.05,1970.1,2500.0,1,44.2,0.04,0.04,
224929.jsonl.gz,1059349247931019,0.4,0.005,3221.0,3445.0,1,60.9,0.005,0.005,0.005
224929.jsonl.gz,1059349247931019,0.4,0.005,221.0,445.0,1,30.5,0.005,0.005,0.005
224929.jsonl.gz,3523185360721264,0.98,0.04,1470.1,2000.0,1,33.6,0.04,0.04,
224929.jsonl.gz,4264368978045256,0.015,0.006,1860.7,2374.3,1,247.4,0.006,0.006,
224929.jsonl.gz,4264368978045256,0.015,0.006,0.0,513.7,1,216.5,0.006,0.006,
